"","Mean","Std.dev","Skewness","Kurtosis"
"1",1124.97831442609,55.9320715101094,0.402462244251654,4.2743012317255
"2",854.54617746087,78.5178525740734,0.218045831790689,5.58583706403304
"3",1154.14961146,44.119288547608,-1.10731670830711,3.95147510840963
"4",1838.70538291304,66.1552072512851,-1.24813824094121,16.3721654092144
"5",1018.27335225333,57.8554073260356,-0.868820241474197,2.88082045836894
"6",1885.75788501818,166.64250988714,-1.81300927251147,7.23824739747583
"7",2010.58701126667,265.833543086131,-0.328695846180912,3.11607843143602
"8",1948.62710894,155.914802166225,-4.25553598821347,23.4213825058155
"9",1413.1650097875,143.565584506705,-0.241376059493707,4.49508584217208
"10",1266.75878846667,33.5580984890723,0.393979279487023,3.15373945014175
