"","mean_trend_entry","Std.dev_trend_entry","Skewness_trend","Kurtosis_trend"
"1",150.372078842598,4.22768492803554,-0.151116993952807,-0.112663994273433
"2",NA,NA,NA,NA
"3",70.8294032996441,-1.10555991048594,-0.0177582956758571,0.0249346694411154
"4",231.91527443932,-5.17750719361482,-0.114107515779956,0.041499397002363
"5",134.248510864039,-0.14871847076274,-0.0161314932650121,-0.501617112532251
"6",383.237008860328,-23.2855959042538,-1.09320876436836,9.44953657806087
"7",NA,NA,NA,NA
"8",61.11715872,7.55643597972893,-0.77874028937403,2.54611017377681
"9",275.522753588,-16.3483812132261,-0.488592576681009,2.69460310131222
"10",133.478555850624,-2.23903211729036,-0.0669148792084428,-0.0801384638516183
